organization_id,organization_name,organization_type,region,industry,size_category,status,created_at
MFG-00053,Smith and Sons,manufacturer,South,Food_Beverage,Large,active,2024-01-01
WHS-00079,Nichols-Mitchell,warehouse,North,Chemicals,Medium,active,2024-01-01
SUP-00213,Stewart Ltd,supplier,North,Textiles,Medium,active,2024-01-01
SUP-00080,"Hensley, Powell and David",supplier,South,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00149,Bryant Group,supplier,East,Electronics,Enterprise,active,2024-01-01
MFG-00003,Santana-Byrd,manufacturer,East,Electronics,Enterprise,active,2024-01-01
DST-00179,"Morrison, Hebert and Rogers",distributor,East,Textiles,Large,active,2024-01-01
LOG-00028,Cook-Oliver,logistics_provider,Central,Food_Beverage,Large,active,2024-01-01
DST-00057,"Carter, Garcia and Murphy",distributor,West,Textiles,Small,active,2024-01-01
MFG-00043,Lopez-Martinez,manufacturer,West,Electronics,Small,active,2024-01-01
DST-00036,Jones-Fox,distributor,South,Food_Beverage,Enterprise,active,2024-01-01
WHS-00062,Tran-Silva,warehouse,East,Textiles,Enterprise,active,2024-01-01
SUP-00134,"Carroll, Sullivan and Bass",supplier,East,Food_Beverage,Medium,active,2024-01-01
WHS-00054,Dominguez Ltd,warehouse,East,Food_Beverage,Medium,active,2024-01-01
MFG-00012,Parsons-Hall,manufacturer,Central,Food_Beverage,Small,active,2024-01-01
WHS-00073,Kirby and Sons,warehouse,South,Pharmaceuticals,Large,active,2024-01-01
DST-00180,Hays-Daniels,distributor,West,Textiles,Medium,active,2024-01-01
SUP-00001,"Rodriguez, Figueroa and Sanchez",supplier,North,Electronics,Large,active,2024-01-01
MFG-00017,"Diaz, Anderson and Browning",manufacturer,West,Food_Beverage,Enterprise,active,2024-01-01
WHS-00057,"Howard, Green and Hunt",warehouse,North,Chemicals,Medium,active,2024-01-01
DST-00098,"Moore, Hopkins and Le",distributor,West,Textiles,Medium,active,2024-01-01
RET-00023,Kramer-Shannon,retailer,South,Pharmaceuticals,Enterprise,active,2024-01-01
DST-00083,Johnson-Spencer,distributor,Central,Food_Beverage,Medium,active,2024-01-01
DST-00028,"Bentley, Lynch and Henderson",distributor,North,Food_Beverage,Small,active,2024-01-01
MFG-00105,Graham Group,manufacturer,Central,Pharmaceuticals,Small,active,2024-01-01
SUP-00173,White-Green,supplier,North,Food_Beverage,Medium,active,2024-01-01
SUP-00126,Smith-Frost,supplier,Central,Textiles,Medium,active,2024-01-01
MFG-00095,"Ramos, Nelson and Fischer",manufacturer,West,Textiles,Enterprise,active,2024-01-01
MFG-00121,Marshall-Elliott,manufacturer,North,Food_Beverage,Enterprise,active,2024-01-01
DST-00103,May-Turner,distributor,West,Electronics,Large,active,2024-01-01
RET-00054,Harris-Lawson,retailer,West,Food_Beverage,Small,active,2024-01-01
SUP-00091,"Turner, Riggs and Roman",supplier,South,Pharmaceuticals,Large,active,2024-01-01
RET-00090,Shaw Inc,retailer,North,Electronics,Large,active,2024-01-01
SUP-00182,"Gould, Marshall and Scott",supplier,Central,Food_Beverage,Medium,active,2024-01-01
SUP-00275,Monroe-Carpenter,supplier,Central,Electronics,Medium,active,2024-01-01
RET-00046,"Hernandez, Jenkins and Parks",retailer,East,Food_Beverage,Large,active,2024-01-01
SUP-00070,Hancock Inc,supplier,East,Electronics,Medium,active,2024-01-01
SUP-00292,Young Ltd,supplier,North,Pharmaceuticals,Small,active,2024-01-01
SUP-00132,Spencer-Lee,supplier,South,Pharmaceuticals,Medium,active,2024-01-01
MFG-00001,"Thomas, Murray and King",manufacturer,Central,Electronics,Enterprise,active,2024-01-01
MFG-00125,Welch-Hogan,manufacturer,Central,Pharmaceuticals,Small,active,2024-01-01
MFG-00027,Richards-Carson,manufacturer,South,Textiles,Enterprise,active,2024-01-01
SUP-00145,Hernandez Ltd,supplier,North,Electronics,Enterprise,active,2024-01-01
MFG-00124,Hernandez-Jones,manufacturer,North,Electronics,Large,active,2024-01-01
DST-00131,"Cook, Wells and Bryant",distributor,South,Pharmaceuticals,Small,active,2024-01-01
SUP-00136,"Lawson, Morris and Ramos",supplier,West,Electronics,Enterprise,active,2024-01-01
DST-00001,"Wise, Conley and Stephenson",distributor,North,Pharmaceuticals,Large,active,2024-01-01
SUP-00165,Castaneda-Ashley,supplier,East,Textiles,Large,active,2024-01-01
SUP-00029,"Ross, Robinson and Bright",supplier,North,Automotive,Enterprise,active,2024-01-01
LOG-00024,Fisher-Washington,logistics_provider,Central,Food_Beverage,Small,active,2024-01-01
SUP-00194,Reid-Poole,supplier,West,Food_Beverage,Medium,active,2024-01-01
MFG-00089,Bennett Group,manufacturer,North,Electronics,Large,active,2024-01-01
RET-00003,Martin-Taylor,retailer,North,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00170,Hooper PLC,supplier,West,Food_Beverage,Medium,active,2024-01-01
WHS-00056,"Morris, Campbell and Owens",warehouse,West,Textiles,Enterprise,active,2024-01-01
SUP-00141,Hernandez Inc,supplier,North,Automotive,Large,active,2024-01-01
SUP-00174,Lewis-Murphy,supplier,South,Chemicals,Enterprise,active,2024-01-01
SUP-00007,Blake and Sons,supplier,Central,Pharmaceuticals,Enterprise,active,2024-01-01
WHS-00096,White LLC,warehouse,East,Chemicals,Medium,active,2024-01-01
DST-00029,Young-Martinez,distributor,West,Electronics,Enterprise,active,2024-01-01
SUP-00074,"Stanley, Tucker and Lee",supplier,South,Food_Beverage,Enterprise,active,2024-01-01
RET-00061,Best-Townsend,retailer,North,Automotive,Large,active,2024-01-01
LOG-00064,"Thompson, Moore and Castro",logistics_provider,West,Pharmaceuticals,Large,active,2024-01-01
SUP-00239,"Guerrero, Peck and Coleman",supplier,North,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00146,Stafford Inc,supplier,East,Chemicals,Large,active,2024-01-01
LOG-00043,Ewing-Mendoza,logistics_provider,Central,Food_Beverage,Medium,active,2024-01-01
SUP-00235,Ortiz Ltd,supplier,East,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00221,Garcia-Smith,supplier,North,Chemicals,Large,active,2024-01-01
RET-00074,"Yang, Wilson and Zimmerman",retailer,West,Automotive,Small,active,2024-01-01
DST-00051,"Rivera, Martinez and Richardson",distributor,East,Automotive,Small,active,2024-01-01
SUP-00133,"Bentley, Byrd and Orr",supplier,West,Electronics,Medium,active,2024-01-01
RET-00141,Andrade-Mendoza,retailer,Central,Textiles,Small,active,2024-01-01
LOG-00025,Ward and Sons,logistics_provider,Central,Food_Beverage,Small,active,2024-01-01
SUP-00186,Johnston-Odonnell,supplier,South,Pharmaceuticals,Medium,active,2024-01-01
SUP-00042,George Group,supplier,West,Textiles,Enterprise,active,2024-01-01
WHS-00047,Boone-Davis,warehouse,North,Textiles,Enterprise,active,2024-01-01
SUP-00109,Hancock and Sons,supplier,East,Automotive,Medium,active,2024-01-01
DST-00139,"Soto, Carlson and Baker",distributor,East,Food_Beverage,Enterprise,active,2024-01-01
SUP-00057,"Washington, Ryan and Cummings",supplier,North,Textiles,Medium,active,2024-01-01
MFG-00106,Atkins PLC,manufacturer,Central,Pharmaceuticals,Medium,active,2024-01-01
MFG-00143,"Hale, Myers and Larson",manufacturer,East,Textiles,Large,active,2024-01-01
LOG-00008,Lopez-Willis,logistics_provider,South,Electronics,Small,active,2024-01-01
RET-00148,Nelson-Johnson,retailer,West,Electronics,Medium,active,2024-01-01
SUP-00025,"Walter, Edwards and Rios",supplier,Central,Chemicals,Medium,active,2024-01-01
DST-00018,Wilkerson-Arias,distributor,Central,Food_Beverage,Large,active,2024-01-01
DST-00090,Humphrey PLC,distributor,East,Chemicals,Enterprise,active,2024-01-01
DST-00082,Conner and Sons,distributor,East,Textiles,Medium,active,2024-01-01
DST-00169,Smith PLC,distributor,West,Pharmaceuticals,Small,active,2024-01-01
WHS-00045,Price LLC,warehouse,North,Automotive,Large,active,2024-01-01
RET-00077,Brady LLC,retailer,South,Food_Beverage,Large,active,2024-01-01
MFG-00039,Crosby-Ramirez,manufacturer,East,Chemicals,Enterprise,active,2024-01-01
SUP-00052,Walker LLC,supplier,Central,Automotive,Enterprise,active,2024-01-01
DST-00058,Parker-Morrison,distributor,West,Textiles,Medium,active,2024-01-01
DST-00067,Reyes-Bradley,distributor,Central,Electronics,Large,active,2024-01-01
RET-00071,"Ashley, Allen and Sanchez",retailer,West,Automotive,Large,active,2024-01-01
LOG-00032,Carter-Neal,logistics_provider,West,Automotive,Small,active,2024-01-01
SUP-00265,Tran Inc,supplier,South,Pharmaceuticals,Large,active,2024-01-01
LOG-00068,Cole Group,logistics_provider,Central,Food_Beverage,Enterprise,active,2024-01-01
WHS-00061,Figueroa Inc,warehouse,Central,Automotive,Large,active,2024-01-01
WHS-00033,"Holder, Young and Hendricks",warehouse,Central,Automotive,Small,active,2024-01-01
LOG-00083,"Ellison, Arias and Thompson",logistics_provider,Central,Chemicals,Large,active,2024-01-01
DST-00069,Hines-Berry,distributor,Central,Chemicals,Enterprise,active,2024-01-01
MFG-00148,Bean LLC,manufacturer,East,Textiles,Medium,active,2024-01-01
SUP-00019,"Adams, Zuniga and Wong",supplier,East,Electronics,Medium,active,2024-01-01
WHS-00066,Levy-May,warehouse,West,Automotive,Enterprise,active,2024-01-01
DST-00034,Mendez and Sons,distributor,Central,Food_Beverage,Large,active,2024-01-01
DST-00119,Levy-Lewis,distributor,South,Textiles,Enterprise,active,2024-01-01
MFG-00134,"Miller, Lucas and Williams",manufacturer,East,Food_Beverage,Large,active,2024-01-01
MFG-00068,Gutierrez Group,manufacturer,North,Chemicals,Small,active,2024-01-01
SUP-00084,"Edwards, Baker and Anderson",supplier,North,Chemicals,Small,active,2024-01-01
SUP-00062,Powell LLC,supplier,East,Food_Beverage,Large,active,2024-01-01
DST-00189,Holden Group,distributor,North,Textiles,Medium,active,2024-01-01
SUP-00273,Morgan-French,supplier,East,Chemicals,Small,active,2024-01-01
SUP-00286,Bowen Group,supplier,West,Electronics,Enterprise,active,2024-01-01
MFG-00061,Henry Group,manufacturer,Central,Automotive,Large,active,2024-01-01
MFG-00055,"Fisher, Wilson and Brown",manufacturer,West,Automotive,Medium,active,2024-01-01
DST-00007,Bishop-Goodwin,distributor,West,Food_Beverage,Enterprise,active,2024-01-01
SUP-00279,Pollard and Sons,supplier,East,Chemicals,Enterprise,active,2024-01-01
SUP-00013,Arnold Ltd,supplier,East,Automotive,Large,active,2024-01-01
SUP-00183,Jackson-Lawson,supplier,East,Food_Beverage,Small,active,2024-01-01
MFG-00069,Perry-Davis,manufacturer,East,Food_Beverage,Small,active,2024-01-01
RET-00032,Williams Ltd,retailer,North,Textiles,Large,active,2024-01-01
DST-00166,Sanchez Ltd,distributor,Central,Electronics,Large,active,2024-01-01
SUP-00224,Wilson-Jones,supplier,East,Electronics,Large,active,2024-01-01
DST-00123,Luna-Gallagher,distributor,West,Food_Beverage,Small,active,2024-01-01
RET-00121,Hernandez-Dawson,retailer,South,Automotive,Small,active,2024-01-01
WHS-00004,"Leach, Harris and Herrera",warehouse,East,Food_Beverage,Medium,active,2024-01-01
DST-00096,"Huber, Hill and Weber",distributor,Central,Electronics,Large,active,2024-01-01
DST-00133,Martin-Ewing,distributor,South,Electronics,Medium,active,2024-01-01
DST-00184,Higgins-Smith,distributor,Central,Electronics,Medium,active,2024-01-01
SUP-00177,Curry Inc,supplier,West,Chemicals,Large,active,2024-01-01
WHS-00016,Cannon Ltd,warehouse,North,Automotive,Enterprise,active,2024-01-01
WHS-00024,"Gray, Hall and Murray",warehouse,North,Electronics,Large,active,2024-01-01
DST-00136,Richardson Ltd,distributor,East,Electronics,Medium,active,2024-01-01
RET-00024,Williams Ltd,retailer,East,Electronics,Small,active,2024-01-01
MFG-00094,"Miller, Ramos and Coleman",manufacturer,West,Chemicals,Small,active,2024-01-01
SUP-00164,Smith-Bell,supplier,South,Chemicals,Small,active,2024-01-01
SUP-00249,Johnston-Hines,supplier,South,Electronics,Medium,active,2024-01-01
DST-00185,Gibbs-Bradley,distributor,East,Chemicals,Small,active,2024-01-01
RET-00036,Wheeler PLC,retailer,East,Electronics,Large,active,2024-01-01
WHS-00020,"Anderson, Dalton and Wilson",warehouse,Central,Food_Beverage,Enterprise,active,2024-01-01
MFG-00076,"Pugh, Henderson and Moon",manufacturer,East,Chemicals,Large,active,2024-01-01
MFG-00113,"Miller, Harrell and Reese",manufacturer,North,Pharmaceuticals,Large,active,2024-01-01
SUP-00075,Novak PLC,supplier,South,Electronics,Small,active,2024-01-01
SUP-00114,Gonzalez Group,supplier,North,Chemicals,Medium,active,2024-01-01
DST-00149,Hoffman Ltd,distributor,South,Chemicals,Enterprise,active,2024-01-01
RET-00112,Haynes-Moss,retailer,South,Automotive,Small,active,2024-01-01
MFG-00091,Frank-Bradley,manufacturer,South,Textiles,Medium,active,2024-01-01
SUP-00105,Nolan-Flynn,supplier,North,Food_Beverage,Small,active,2024-01-01
SUP-00115,Torres-Pope,supplier,East,Automotive,Medium,active,2024-01-01
MFG-00118,Thomas and Sons,manufacturer,West,Textiles,Medium,active,2024-01-01
DST-00076,Hayes Ltd,distributor,West,Textiles,Large,active,2024-01-01
DST-00008,Young-Allen,distributor,East,Pharmaceuticals,Large,active,2024-01-01
MFG-00110,Collier-Gillespie,manufacturer,South,Electronics,Small,active,2024-01-01
SUP-00093,"Garcia, Humphrey and Baker",supplier,East,Electronics,Small,active,2024-01-01
RET-00081,"Ward, Porter and Bradley",retailer,West,Food_Beverage,Small,active,2024-01-01
SUP-00090,Moore-Bass,supplier,East,Food_Beverage,Enterprise,active,2024-01-01
MFG-00037,"Newton, Moore and Perry",manufacturer,East,Textiles,Enterprise,active,2024-01-01
RET-00139,Mendez PLC,retailer,South,Textiles,Large,active,2024-01-01
RET-00072,Wilson-Salazar,retailer,West,Textiles,Medium,active,2024-01-01
RET-00084,Williams Inc,retailer,Central,Electronics,Large,active,2024-01-01
DST-00156,Bush-Vaughn,distributor,North,Pharmaceuticals,Small,active,2024-01-01
DST-00144,Smith LLC,distributor,North,Food_Beverage,Medium,active,2024-01-01
DST-00162,Reed Group,distributor,Central,Automotive,Enterprise,active,2024-01-01
SUP-00095,Campbell-Clark,supplier,North,Textiles,Small,active,2024-01-01
SUP-00012,Dudley Group,supplier,North,Food_Beverage,Small,active,2024-01-01
MFG-00097,Gregory-Watkins,manufacturer,South,Food_Beverage,Enterprise,active,2024-01-01
DST-00084,Mcdonald-Bird,distributor,South,Pharmaceuticals,Medium,active,2024-01-01
SUP-00044,Allen-Allen,supplier,North,Chemicals,Large,active,2024-01-01
SUP-00043,Rodriguez LLC,supplier,Central,Automotive,Small,active,2024-01-01
MFG-00030,Herman-Walker,manufacturer,West,Food_Beverage,Medium,active,2024-01-01
SUP-00168,Johnson-Rogers,supplier,North,Electronics,Medium,active,2024-01-01
DST-00048,Robertson-Hays,distributor,Central,Chemicals,Large,active,2024-01-01
RET-00027,Harris-Barker,retailer,South,Textiles,Medium,active,2024-01-01
DST-00148,Thornton PLC,distributor,Central,Chemicals,Enterprise,active,2024-01-01
LOG-00007,Kelly Group,logistics_provider,East,Chemicals,Large,active,2024-01-01
SUP-00101,Figueroa PLC,supplier,East,Pharmaceuticals,Large,active,2024-01-01
MFG-00127,Johnson-Wood,manufacturer,West,Textiles,Large,active,2024-01-01
SUP-00179,"Williams, Johnson and Wright",supplier,Central,Food_Beverage,Medium,active,2024-01-01
MFG-00145,"Conner, Li and Santiago",manufacturer,South,Chemicals,Enterprise,active,2024-01-01
MFG-00117,"Mullen, Brewer and Hernandez",manufacturer,Central,Textiles,Small,active,2024-01-01
RET-00021,Adams-Clayton,retailer,West,Chemicals,Large,active,2024-01-01
RET-00033,Barber-Fischer,retailer,North,Electronics,Enterprise,active,2024-01-01
WHS-00031,Morales and Sons,warehouse,East,Textiles,Large,active,2024-01-01
SUP-00178,Walker-Jones,supplier,West,Textiles,Enterprise,active,2024-01-01
MFG-00096,Reed Inc,manufacturer,East,Electronics,Large,active,2024-01-01
RET-00062,Matthews Inc,retailer,South,Chemicals,Enterprise,active,2024-01-01
LOG-00044,Ferguson-Mclean,logistics_provider,South,Food_Beverage,Large,active,2024-01-01
RET-00111,Green-Edwards,retailer,West,Electronics,Medium,active,2024-01-01
WHS-00035,Young-Walter,warehouse,East,Automotive,Large,active,2024-01-01
MFG-00084,"Gallegos, Adams and White",manufacturer,North,Chemicals,Medium,active,2024-01-01
RET-00107,Haynes-Watson,retailer,West,Pharmaceuticals,Enterprise,active,2024-01-01
LOG-00002,"Ramsey, Mason and Mccann",logistics_provider,South,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00258,"Bryan, Smith and Booth",supplier,West,Electronics,Small,active,2024-01-01
DST-00089,Owens-Holmes,distributor,East,Food_Beverage,Medium,active,2024-01-01
MFG-00036,"Avery, Horton and Fernandez",manufacturer,North,Food_Beverage,Large,active,2024-01-01
SUP-00016,Galloway-Wyatt,supplier,North,Textiles,Large,active,2024-01-01
MFG-00025,"Diaz, Gibbs and Smith",manufacturer,East,Automotive,Enterprise,active,2024-01-01
LOG-00009,Miller-Montgomery,logistics_provider,West,Automotive,Medium,active,2024-01-01
SUP-00223,Sheppard LLC,supplier,East,Textiles,Enterprise,active,2024-01-01
SUP-00180,Howell and Sons,supplier,West,Food_Beverage,Large,active,2024-01-01
RET-00134,Jackson PLC,retailer,West,Chemicals,Enterprise,active,2024-01-01
SUP-00023,Perez Inc,supplier,South,Chemicals,Large,active,2024-01-01
MFG-00057,Hayes and Sons,manufacturer,Central,Automotive,Enterprise,active,2024-01-01
WHS-00017,"Stuart, Brooks and Vance",warehouse,Central,Food_Beverage,Medium,active,2024-01-01
RET-00012,Burns-Ray,retailer,South,Textiles,Large,active,2024-01-01
MFG-00041,Garcia-Jennings,manufacturer,South,Chemicals,Large,active,2024-01-01
MFG-00132,"Lopez, Jacobs and Mason",manufacturer,West,Automotive,Enterprise,active,2024-01-01
DST-00102,"Fowler, Jimenez and Burton",distributor,Central,Automotive,Medium,active,2024-01-01
LOG-00084,Burns and Sons,logistics_provider,East,Automotive,Large,active,2024-01-01
SUP-00204,"Beard, Peters and Black",supplier,East,Pharmaceuticals,Enterprise,active,2024-01-01
DST-00181,Small-Anderson,distributor,Central,Electronics,Small,active,2024-01-01
SUP-00094,Newton and Sons,supplier,Central,Food_Beverage,Medium,active,2024-01-01
DST-00109,Gross-Valencia,distributor,North,Electronics,Large,active,2024-01-01
SUP-00069,Russell Group,supplier,South,Electronics,Small,active,2024-01-01
DST-00173,Pearson and Sons,distributor,East,Chemicals,Small,active,2024-01-01
SUP-00285,Garcia-Lozano,supplier,East,Textiles,Large,active,2024-01-01
LOG-00095,Adams PLC,logistics_provider,East,Food_Beverage,Enterprise,active,2024-01-01
MFG-00135,"Kim, Gonzales and Mills",manufacturer,East,Automotive,Medium,active,2024-01-01
SUP-00154,Green-Wright,supplier,Central,Automotive,Enterprise,active,2024-01-01
SUP-00076,"Daniels, Adkins and Brown",supplier,West,Automotive,Enterprise,active,2024-01-01
WHS-00081,Rodriguez Inc,warehouse,West,Chemicals,Enterprise,active,2024-01-01
MFG-00147,"Henderson, Cox and Cox",manufacturer,Central,Automotive,Small,active,2024-01-01
SUP-00189,Garcia LLC,supplier,West,Automotive,Enterprise,active,2024-01-01
SUP-00272,"Suarez, Shields and Hill",supplier,South,Chemicals,Medium,active,2024-01-01
SUP-00237,Warner-Gibson,supplier,East,Automotive,Large,active,2024-01-01
DST-00038,Williams-Hughes,distributor,East,Chemicals,Large,active,2024-01-01
SUP-00118,Rasmussen LLC,supplier,North,Electronics,Enterprise,active,2024-01-01
RET-00094,Murphy-Tran,retailer,East,Electronics,Enterprise,active,2024-01-01
DST-00063,"Sullivan, Palmer and Brady",distributor,North,Pharmaceuticals,Enterprise,active,2024-01-01
LOG-00076,Bruce-Williamson,logistics_provider,North,Pharmaceuticals,Medium,active,2024-01-01
DST-00142,"Harvey, Randall and Hernandez",distributor,East,Textiles,Large,active,2024-01-01
SUP-00127,"Mcdaniel, Bentley and Mclaughlin",supplier,West,Pharmaceuticals,Small,active,2024-01-01
SUP-00117,Ross LLC,supplier,Central,Food_Beverage,Large,active,2024-01-01
DST-00024,Lowery-Kennedy,distributor,West,Chemicals,Enterprise,active,2024-01-01
WHS-00044,Faulkner-Grant,warehouse,Central,Automotive,Enterprise,active,2024-01-01
SUP-00058,"Johnston, Sanchez and Kennedy",supplier,South,Chemicals,Enterprise,active,2024-01-01
RET-00014,Schultz Inc,retailer,North,Automotive,Enterprise,active,2024-01-01
RET-00063,Lewis-Livingston,retailer,Central,Textiles,Medium,active,2024-01-01
MFG-00070,Edwards-Scott,manufacturer,Central,Automotive,Medium,active,2024-01-01
SUP-00269,Hicks-Hill,supplier,West,Automotive,Enterprise,active,2024-01-01
SUP-00047,Anderson Group,supplier,North,Chemicals,Large,active,2024-01-01
MFG-00050,"Smith, Garrison and Thomas",manufacturer,South,Pharmaceuticals,Small,active,2024-01-01
SUP-00196,"Nelson, Morton and Medina",supplier,West,Food_Beverage,Small,active,2024-01-01
RET-00150,Stokes Group,retailer,Central,Chemicals,Enterprise,active,2024-01-01
LOG-00085,Edwards Group,logistics_provider,Central,Food_Beverage,Enterprise,active,2024-01-01
WHS-00087,"Frey, Santos and Johnson",warehouse,North,Food_Beverage,Enterprise,active,2024-01-01
SUP-00264,"Lloyd, Mckinney and Collins",supplier,Central,Chemicals,Small,active,2024-01-01
MFG-00144,Collins Group,manufacturer,East,Electronics,Medium,active,2024-01-01
WHS-00026,Johnson Ltd,warehouse,East,Textiles,Small,active,2024-01-01
MFG-00005,"Evans, Hayden and Vaughn",manufacturer,West,Electronics,Medium,active,2024-01-01
MFG-00042,"Winters, Newman and Brown",manufacturer,South,Chemicals,Small,active,2024-01-01
RET-00117,"Howard, Townsend and Hayes",retailer,Central,Food_Beverage,Enterprise,active,2024-01-01
SUP-00150,"Schmidt, Hansen and Stewart",supplier,North,Textiles,Medium,active,2024-01-01
SUP-00125,Scott Ltd,supplier,Central,Electronics,Large,active,2024-01-01
LOG-00037,Maldonado PLC,logistics_provider,West,Food_Beverage,Enterprise,active,2024-01-01
SUP-00051,"Brooks, Lam and Hayes",supplier,Central,Textiles,Small,active,2024-01-01
MFG-00054,"Morris, Thompson and Williams",manufacturer,West,Automotive,Small,active,2024-01-01
RET-00078,"Tanner, Wise and Johnson",retailer,North,Food_Beverage,Enterprise,active,2024-01-01
SUP-00143,Gibson Ltd,supplier,North,Electronics,Large,active,2024-01-01
DST-00021,Walker-Flores,distributor,South,Automotive,Medium,active,2024-01-01
MFG-00100,Duran LLC,manufacturer,North,Food_Beverage,Large,active,2024-01-01
DST-00176,Osborn Group,distributor,East,Textiles,Medium,active,2024-01-01
MFG-00021,Coffey-Phillips,manufacturer,East,Textiles,Large,active,2024-01-01
SUP-00020,"Reid, Ferguson and Sanchez",supplier,North,Food_Beverage,Large,active,2024-01-01
LOG-00060,Alvarez-Kim,logistics_provider,Central,Textiles,Medium,active,2024-01-01
LOG-00041,"Porter, Schultz and Allen",logistics_provider,South,Electronics,Small,active,2024-01-01
LOG-00059,Mueller-Boyd,logistics_provider,East,Automotive,Small,active,2024-01-01
MFG-00108,Roberts-Sullivan,manufacturer,Central,Electronics,Large,active,2024-01-01
DST-00088,"Jones, Compton and Day",distributor,West,Pharmaceuticals,Medium,active,2024-01-01
DST-00171,Santos-Avila,distributor,South,Chemicals,Enterprise,active,2024-01-01
SUP-00039,Harrell LLC,supplier,North,Electronics,Medium,active,2024-01-01
SUP-00176,King-Miller,supplier,North,Food_Beverage,Medium,active,2024-01-01
SUP-00246,Navarro-Munoz,supplier,West,Chemicals,Large,active,2024-01-01
LOG-00079,Allen Inc,logistics_provider,South,Chemicals,Small,active,2024-01-01
WHS-00018,Kane-Knox,warehouse,South,Automotive,Large,active,2024-01-01
LOG-00005,"Sanders, Ayala and Johnson",logistics_provider,West,Automotive,Large,active,2024-01-01
RET-00009,Sellers-Riddle,retailer,Central,Chemicals,Enterprise,active,2024-01-01
SUP-00155,"Ramirez, Strickland and Washington",supplier,East,Food_Beverage,Large,active,2024-01-01
SUP-00288,Morgan-Schwartz,supplier,East,Textiles,Enterprise,active,2024-01-01
DST-00153,"Becker, Lara and Baker",distributor,North,Chemicals,Enterprise,active,2024-01-01
DST-00120,Williams-Campbell,distributor,South,Chemicals,Small,active,2024-01-01
WHS-00094,"Alvarez, Williams and Jones",warehouse,East,Pharmaceuticals,Small,active,2024-01-01
SUP-00018,"Flowers, Martin and Kelly",supplier,North,Electronics,Medium,active,2024-01-01
SUP-00128,Diaz Inc,supplier,East,Automotive,Small,active,2024-01-01
MFG-00023,Taylor and Sons,manufacturer,Central,Textiles,Enterprise,active,2024-01-01
SUP-00256,"Johnson, Miller and King",supplier,East,Electronics,Small,active,2024-01-01
WHS-00008,Chavez PLC,warehouse,West,Food_Beverage,Medium,active,2024-01-01
RET-00115,Moore and Sons,retailer,West,Electronics,Large,active,2024-01-01
SUP-00191,Reed Group,supplier,West,Food_Beverage,Small,active,2024-01-01
SUP-00116,Walker Ltd,supplier,East,Pharmaceuticals,Large,active,2024-01-01
DST-00167,"Perez, Hall and Garcia",distributor,East,Chemicals,Enterprise,active,2024-01-01
DST-00157,Stewart-Bailey,distributor,South,Chemicals,Large,active,2024-01-01
SUP-00181,Wells Inc,supplier,South,Chemicals,Large,active,2024-01-01
MFG-00002,Estrada-Nolan,manufacturer,North,Automotive,Large,active,2024-01-01
LOG-00010,Marquez Inc,logistics_provider,West,Chemicals,Large,active,2024-01-01
WHS-00063,"Butler, Hernandez and Rivera",warehouse,South,Pharmaceuticals,Large,active,2024-01-01
WHS-00074,Mann Inc,warehouse,Central,Chemicals,Large,active,2024-01-01
WHS-00036,"Boyd, Gutierrez and Hill",warehouse,South,Pharmaceuticals,Enterprise,active,2024-01-01
RET-00130,Johnson Inc,retailer,East,Food_Beverage,Small,active,2024-01-01
DST-00068,"Hernandez, Cole and Watson",distributor,North,Automotive,Small,active,2024-01-01
RET-00135,Underwood-Foster,retailer,West,Chemicals,Enterprise,active,2024-01-01
SUP-00046,Spence PLC,supplier,West,Pharmaceuticals,Enterprise,active,2024-01-01
RET-00060,"Fisher, Payne and Thompson",retailer,West,Automotive,Enterprise,active,2024-01-01
SUP-00158,"Miller, Hernandez and Reyes",supplier,South,Textiles,Large,active,2024-01-01
RET-00002,"Norris, Callahan and Bishop",retailer,North,Chemicals,Medium,active,2024-01-01
SUP-00172,"Alvarado, Miller and Patterson",supplier,South,Pharmaceuticals,Small,active,2024-01-01
SUP-00017,James Group,supplier,Central,Automotive,Medium,active,2024-01-01
DST-00062,"Whitney, Gould and Jones",distributor,North,Textiles,Medium,active,2024-01-01
SUP-00049,Hickman Ltd,supplier,East,Chemicals,Medium,active,2024-01-01
RET-00122,Foster-Williams,retailer,South,Automotive,Small,active,2024-01-01
RET-00091,Walker PLC,retailer,South,Textiles,Medium,active,2024-01-01
DST-00066,Osborne LLC,distributor,West,Food_Beverage,Large,active,2024-01-01
RET-00103,"Acosta, Garcia and Moreno",retailer,North,Automotive,Small,active,2024-01-01
DST-00031,Brown-Copeland,distributor,Central,Food_Beverage,Enterprise,active,2024-01-01
SUP-00284,"Sanford, Rivera and Garcia",supplier,North,Electronics,Medium,active,2024-01-01
WHS-00069,White-Preston,warehouse,West,Automotive,Medium,active,2024-01-01
RET-00028,Khan LLC,retailer,West,Electronics,Large,active,2024-01-01
SUP-00226,Hernandez PLC,supplier,North,Food_Beverage,Large,active,2024-01-01
SUP-00027,Baker and Sons,supplier,East,Chemicals,Medium,active,2024-01-01
RET-00105,Dawson Inc,retailer,Central,Pharmaceuticals,Medium,active,2024-01-01
